Max-Activating Examples Analysis
================================================================================

  Neuron | Top Activating Tokens (token: activation)
--------------------------------------------------------------------------------
       0 | ▁D:1.51, ▁a:1.49, ▁Bus:1.35, s:1.34, ▁the:1.32, ▁:1.32, ▁its:1.31, ▁Gr:1.26
       1 | ▁answer:1.50, ▁answer:1.43, ▁answer:1.39, ▁answer:1.36, ▁proposal:1.36, ▁answers:1.36, ▁priority:1.34, ▁answer:1.31
       2 | ▁necessary:1.97, ▁close:1.91, ▁necessary:1.85, ▁added:1.82, ▁further:1.82, ▁necessary:1.77, ▁late:1.75, ▁necessary:1.74
       3 | ▁would:1.53, ▁were:1.50, ▁would:1.49, ▁would:1.45, ▁would:1.44, ▁will:1.43, ▁would:1.42, ▁would:1.40
       4 | ▁I:1.52, ▁I:1.26, ▁Jo:1.22, ▁I:1.21, 44:1.19, ▁I:1.19, ▁I:1.18, ▁I:1.18
       5 | ▁Parliament:1.41, ▁Parliament:1.37, ▁Parliament:1.29, ▁Parliament:1.28, ▁Parliament:1.22, ▁development:1.21, ▁Parliament:1.20, ▁Parliament:1.18
       6 | ▁245:1.04, ▁new:1.02, ▁a:1.00, ▁further:0.98, ▁that:0.96, ▁too:0.93, ▁significant:0.91, ▁deal:0.90
       7 | ▁level:1.86, ▁area:1.80, ▁matter:1.77, ▁level:1.72, ▁far:1.72, ▁level:1.70, ▁as:1.67, ▁quality:1.61
       8 | ▁common:1.56, ▁common:1.43, ▁common:1.42, ▁single:1.41, ▁single:1.41, ▁common:1.39, ▁depleted:1.38, ▁common:1.36
       9 | ▁checking:1.19, ▁monitor:1.15, ▁verify:1.14, ▁verifying:1.13, ▁condemns:1.13, ▁prevent:1.10, ▁Cur:1.08, ▁prevent:1.07
      10 | ▁the:1.44, ▁a:1.44, ▁a:1.38, ▁the:1.37, ▁the:1.34, ▁the:1.33, ▁the:1.31, ▁an:1.30
      11 | ▁too:1.49, ▁standards:1.38, ▁standards:1.34, ▁regions:1.33, ▁progress:1.31, ▁prevent:1.27, ▁global:1.27, ▁limit:1.26
      12 | ▁second:1.58, ▁Group:1.42, ▁Group:1.42, ▁principle:1.42, ▁reports:1.41, ▁fact:1.40, ▁fact:1.40, ▁fact:1.40
      13 | ▁principle:1.19, ▁principle:1.16, ▁principle:1.13, EC:1.11, ▁Charter:1.10, ▁principle:1.08, ▁principle:1.06, ▁common:1.06
      14 | ▁be:1.09, ▁be:1.09, ▁be:1.05, .":1.03, ▁be:1.02, ▁sex:1.02, ▁were:1.01, ▁statistics:1.00
      15 | ▁re:1.17, ▁re:1.12, ▁application:1.11, /21:1.09, ▁application:1.09, ▁re:1.09, ▁Re:1.08, ▁Asylum:1.07
      16 | ▁second:1.11, ▁rapporteur:1.10, ▁rapporteurs:1.08, ▁sixth:1.07, ▁rapporteur:1.03, ▁rapporteur:1.01, ▁rapporteur:1.01, ▁rapporteur:1.01
      17 | ▁more:1.50, ▁more:1.42, ▁more:1.42, ▁closed:1.34, ▁closed:1.34, ▁closed:1.34, ▁more:1.31, ▁more:1.28
      18 | ▁in:1.50, -:1.31, ▁of:1.30, ▁respect:1.30, ▁to:1.27, ▁in:1.27, ▁in:1.27, ▁for:1.25
      19 | ▁you:1.54, ▁you:1.44, ▁you:1.39, ▁I:1.38, ▁you:1.38, ▁you:1.37, ▁I:1.36, ▁economic:1.33

Polysemantic neurons: [0, 1, 2, 6, 7, 9, 11, 12, 13, 14, 15, 18, 20, 21, 22, 23, 25, 26, 29, 30, 31, 32, 34, 38, 39, 41, 43, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 62, 63, 64, 65, 66, 67, 69, 70, 71, 72, 73, 74, 76, 77, 78, 79, 80, 81, 82, 83, 85, 86, 87, 88, 89, 91, 93, 94, 95, 96, 97, 98, 99, 101, 102, 103, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 118, 122, 123, 125, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 145, 146, 148, 150, 151, 152, 153, 154, 155, 156, 159, 160, 161, 162, 163, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 176, 177, 178, 179, 180, 181, 182, 183, 185, 186, 187, 188, 190, 191, 192, 193, 194, 195, 196, 198, 200, 201, 202, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 216, 217, 218, 219, 221, 222, 223, 224, 226, 227, 230, 231, 232, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 248, 249, 250, 251, 253, 254, 255]
